strategy,retriever,candidate_k,n_questions,any_expected_page_rate,mean_expected_page_recall,all_expected_pages_rate,mean_mrr,mean_retrieval_seconds,median_retrieval_seconds
sentence_10_overlap_5,bm25,10,140,0.9357142857142857,0.8970238095238094,0.8571428571428571,0.7675878684807256,0.010766110228568744,0.010574570499954916
sentence_10_overlap_5,bm25,20,140,0.9571428571428572,0.9327380952380953,0.9071428571428571,0.7690896999825572,0.008928166499996289,0.008510784000009153
sentence_10_overlap_5,bm25,30,140,0.9785714285714285,0.9648809523809524,0.95,0.770049609638119,0.0093923104642816,0.008726173499951528
sentence_10_overlap_5,bm25,40,140,0.9785714285714285,0.9648809523809524,0.95,0.770049609638119,0.010394213357141422,0.009626112500029649
sentence_10_overlap_5,dense,10,140,0.9785714285714285,0.9642857142857143,0.95,0.8903061224489796,0.013126835878573015,0.011780259499971635
sentence_10_overlap_5,dense,20,140,1.0,0.9928571428571429,0.9857142857142858,0.8920151277294135,0.012751874514285484,0.011311897499979295
sentence_10_overlap_5,dense,30,140,1.0,0.9964285714285714,0.9928571428571429,0.8920151277294135,0.01391819147857437,0.011825253000040448
sentence_10_overlap_5,dense,40,140,1.0,1.0,1.0,0.8920151277294135,0.014020322742851477,0.012479482499998085
sentence_10_overlap_5,hybrid_rrf,10,140,0.9857142857142858,0.9660714285714286,0.95,0.8704761904761904,0.02536151577857189,0.02325146800001221
sentence_10_overlap_5,hybrid_rrf,20,140,0.9928571428571429,0.9857142857142858,0.9785714285714285,0.864702380952381,0.02410929284999546,0.020929445499973554
sentence_10_overlap_5,hybrid_rrf,30,140,1.0,0.9964285714285714,0.9928571428571429,0.8645593692022264,0.025491350514283796,0.021935163500018007
sentence_10_overlap_5,hybrid_rrf,40,140,1.0,1.0,1.0,0.8625755559140652,0.025434180414282536,0.022934211000006144
sentence_15_no_overlap,bm25,10,140,0.9571428571428572,0.9255952380952381,0.8928571428571429,0.7745833333333333,0.0053984594142865005,0.004983362499984878
sentence_15_no_overlap,bm25,20,140,0.9785714285714285,0.9613095238095238,0.9428571428571428,0.7761531920460492,0.004868950664281816,0.003929944500015381
sentence_15_no_overlap,bm25,30,140,0.9785714285714285,0.9684523809523811,0.9571428571428572,0.7761531920460492,0.004902784514284317,0.004252374499998268
sentence_15_no_overlap,bm25,40,140,0.9857142857142858,0.9773809523809525,0.9714285714285714,0.7763632760796626,0.00509908422857198,0.004685299500010842
sentence_15_no_overlap,dense,10,140,1.0,0.9928571428571429,0.9857142857142858,0.8830640589569161,0.014647454621428274,0.011901025499980733
sentence_15_no_overlap,dense,20,140,1.0,1.0,1.0,0.8830640589569161,0.01383456280714321,0.011401584500021045
sentence_15_no_overlap,dense,30,140,1.0,1.0,1.0,0.8830640589569161,0.014054637928571522,0.011911346499999809
sentence_15_no_overlap,dense,40,140,1.0,1.0,1.0,0.8830640589569161,0.014540976192860253,0.012698671500004366
sentence_15_no_overlap,hybrid_rrf,10,140,1.0,0.9946428571428572,0.9857142857142858,0.8797619047619047,0.018920380700002886,0.01725805350000087
sentence_15_no_overlap,hybrid_rrf,20,140,1.0,1.0,1.0,0.874702380952381,0.01824640800713756,0.016146425499982797
sentence_15_no_overlap,hybrid_rrf,30,140,1.0,1.0,1.0,0.8718253968253968,0.018482530257140542,0.0169257254999593
sentence_15_no_overlap,hybrid_rrf,40,140,1.0,1.0,1.0,0.8706335034013606,0.02004853896428561,0.017770335999955478
